app_name,price,avg_rating,rating_count,size_mb,primary_genre,content_rating,language_count,has_iap,has_support_url,min_ios,is_game_center,age_days,update_recency_days
Buddhify: Guided Meditation,4.99,4.75176,6107,652.5952,Health & Fitness,4+,1,0,0,11.0,0,4341,525
Transcendental Meditation,0.0,4.8811,2069,78.53568,Health & Fitness,4+,1,0,0,15.0,0,1813,31
Now: Meditation,0.0,5,10,85.682176,Health & Fitness,4+,1,0,0,10.0,0,2929,1188
"Positiv Meditação, Paz e Sono",0.0,4.85714,112,129.10592,Health & Fitness,4+,1,0,0,13.0,0,2093,50
Moments of Space Meditation,0.0,4.63291,158,106.020864,Health & Fitness,4+,1,0,0,16.0,0,1289,98
Ensō | Meditation Timer & Bell,0.0,4.48241,199,28.321792,Health & Fitness,4+,1,0,0,9.0,0,4180,1983
Meditation & Sleep by GetFit,0.0,4.5042,119,329.728,Health & Fitness,4+,1,0,0,11.0,0,2299,2007
Soulspace Prayer & Meditation,0.0,4.92336,4410,70.721536,Reference,4+,2,0,0,13.0,0,2162,653
Frequency: Healing Meditation,0.0,4.78571,168,111.253504,Health & Fitness,4+,1,0,0,13.0,0,656,13
Flowtime: Meditation & Relax,0.0,4.30337,178,199.2448,Health & Fitness,4+,3,0,0,15.0,0,2101,191
Digipill: Guided Meditation,0.0,4.53091,1181,134.31808,Health & Fitness,4+,1,0,0,9.0,0,4733,2825
Heart of the Matter Meditation,0.0,5,11,28.203008,Health & Fitness,4+,1,0,0,15.0,0,3061,1067
Zenify: Calm Sleep Meditation,0.0,4.34,100,97.123328,Health & Fitness,12+,1,0,0,13.0,0,3501,56
Shellevate - Meditation Game,0.0,4.09999,10,130.018304,Health & Fitness,4+,1,0,0,13.0,0,1161,238
evolum - Meditation & Yoga,0.0,4.96154,26,112.178176,Health & Fitness,4+,1,0,0,15.0,0,2215,47
Calmind: Relax & Meditation,0.0,4.41934,31,77.20448,Health & Fitness,17+,1,0,0,17.0,0,2147,432
Preksha Meditation,0.0,4.90278,144,94.130176,Health & Fitness,4+,1,0,0,13.0,0,4825,14
Take3Breaths Guided Meditation,0.0,4.5,10,57.567232,Health & Fitness,4+,1,0,0,12.4,0,1631,240
SoulPod: Breathwork Meditation,0.0,4.56923,65,162.880512,Health & Fitness,12+,1,0,0,16.0,0,927,7
